target_uri;target_id;goal_id;term;source_span;emitted_by_step;target_count;discriminating
http://data.europa.eu/sdg/1.1;1.1;1;extreme poverty for all people everywhere;eradicate extreme poverty for all people everywhere;6;1;yes
http://data.europa.eu/sdg/1.1;1.1;1;people everywhere;eradicate extreme poverty for all people everywhere;7;1;yes
http://data.europa.eu/sdg/1.1;1.1;1;1 25 a day;currently measured as people living on less than $1.25 a day;7;1;yes
http://data.europa.eu/sdg/1.2;1.2;1;half the proportion of men;reduce at least by half the proportion of men;6;1;yes
http://data.europa.eu/sdg/1.2;1.2;1;women;women;6;6;no
http://data.europa.eu/sdg/1.3;1.3;1;nationally appropriate social protection systems;Implement nationally appropriate social protection systems;6;1;yes
http://data.europa.eu/sdg/1.3;1.3;1;social protection systems;Implement nationally appropriate social protection systems;7;1;yes
http://data.europa.eu/sdg/1.3;1.3;1;measures;measures for all;6;1;yes
http://data.europa.eu/sdg/1.3;1.3;1;floors;floors;6;1;yes
http://data.europa.eu/sdg/1.3;1.3;1;vulnerable;the vulnerable;6;2;yes
http://data.europa.eu/sdg/1.4;1.4;1;men;ensure that all men;6;2;yes
http://data.europa.eu/sdg/1.4;1.4;1;women;women;6;6;no
http://data.europa.eu/sdg/1.4;1.4;1;poor;the poor;6;2;yes
http://data.europa.eu/sdg/1.4;1.4;1;vulnerable;the vulnerable;6;2;yes
http://data.europa.eu/sdg/1.4;1.4;1;have equal rights to economic resources;have equal rights to economic resources;6;1;yes
http://data.europa.eu/sdg/1.4;1.4;1;economic resources;have equal rights to economic resources;7;2;yes
http://data.europa.eu/sdg/1.4;1.4;1;access to basic services;access to basic services;6;1;yes
http://data.europa.eu/sdg/1.4;1.4;1;basic services;access to basic services;7;2;yes
http://data.europa.eu/sdg/1.4;1.4;1;ownership;ownership;6;1;yes
http://data.europa.eu/sdg/1.4;1.4;1;control over land;control over land;6;2;yes
http://data.europa.eu/sdg/1.4;1.4;1;forms of property;other forms of property;6;2;yes
http://data.europa.eu/sdg/1.4;1.4;1;inheritance;inheritance;6;2;yes
http://data.europa.eu/sdg/1.4;1.4;1;natural resources;natural resources;6;3;yes
http://data.europa.eu/sdg/1.4;1.4;1;financial services;financial services;6;6;no
http://data.europa.eu/sdg/1.4;1.4;1;microfinance;microfinance;6;1;yes
http://data.europa.eu/sdg/1.5;1.5;1;resilience of the poor;build the resilience of the poor;6;1;yes
http://data.europa.eu/sdg/1.5;1.5;1;those in vulnerable situations;those in vulnerable situations;6;2;yes
http://data.europa.eu/sdg/1.5;1.5;1;vulnerable situations;those in vulnerable situations;7;6;no
http://data.europa.eu/sdg/1.5;1.5;1;exposure;reduce their exposure;6;1;yes
http://data.europa.eu/sdg/1.5;1.5;1;vulnerability to climate-related extreme events;vulnerability to climate-related extreme events;6;1;yes
http://data.europa.eu/sdg/1.5;1.5;1;climate-related extreme events;vulnerability to climate-related extreme events;7;1;yes
http://data.europa.eu/sdg/1.5;1.5;1;economic;other economic;6;3;yes
http://data.europa.eu/sdg/1.5;1.5;1;social;social;6;3;yes
http://data.europa.eu/sdg/1.5;1.5;1;environmental shocks;environmental shocks;6;1;yes
http://data.europa.eu/sdg/1.5;1.5;1;disasters;disasters;6;2;yes
http://data.europa.eu/sdg/1.a;1.a;1;variety of sources;Ensure significant mobilization of resources from a variety of sources;7;1;yes
http://data.europa.eu/sdg/1.a;1.a;1;enhanced development cooperation;through enhanced development cooperation;6;1;yes
http://data.europa.eu/sdg/1.a;1.a;1;order to provide adequate;in order to provide adequate;6;1;yes
http://data.europa.eu/sdg/1.a;1.a;1;provide adequate;in order to provide adequate;7;1;yes
http://data.europa.eu/sdg/1.a;1.a;1;predictable means for developing countries;predictable means for developing countries;6;1;yes
http://data.europa.eu/sdg/1.a;1.a;1;developing countries;predictable means for developing countries;7;22;no
http://data.europa.eu/sdg/1.a;1.a;1;developed countries;least developed countries;6;19;no
http://data.europa.eu/sdg/1.a;1.a;1;implement programmes;to implement programmes;6;1;yes
http://data.europa.eu/sdg/1.b;1.b;1;sound policy frameworks;Create sound policy frameworks at the national;6;1;yes
http://data.europa.eu/sdg/1.b;1.b;1;regional;regional;6;3;yes
http://data.europa.eu/sdg/1.b;1.b;1;based on pro-poor;based on pro-poor;6;1;yes
http://data.europa.eu/sdg/1.b;1.b;1;gender-sensitive development strategies;gender-sensitive development strategies;6;1;yes
http://data.europa.eu/sdg/1.b;1.b;1;poverty eradication actions;to support accelerated investment in poverty eradication actions;7;1;yes
http://data.europa.eu/sdg/2.1;2.1;2;hunger;end hunger;6;1;yes
http://data.europa.eu/sdg/2.1;2.1;2;access by all people;ensure access by all people;6;1;yes
http://data.europa.eu/sdg/2.1;2.1;2;poor;the poor;6;2;yes
http://data.europa.eu/sdg/2.1;2.1;2;people in vulnerable situations;people in vulnerable situations;6;2;yes
http://data.europa.eu/sdg/2.1;2.1;2;vulnerable situations;people in vulnerable situations;7;6;no
http://data.europa.eu/sdg/2.1;2.1;2;infants;infants;6;1;yes
http://data.europa.eu/sdg/2.1;2.1;2;safe;to safe;6;5;no
http://data.europa.eu/sdg/2.1;2.1;2;nutritious;nutritious;6;1;yes
http://data.europa.eu/sdg/2.1;2.1;2;sufficient food all year round;sufficient food all year round;6;1;yes
http://data.europa.eu/sdg/2.1;2.1;2;year round;sufficient food all year round;7;1;yes
http://data.europa.eu/sdg/2.2;2.2;2;forms of malnutrition;end all forms of malnutrition;6;1;yes
http://data.europa.eu/sdg/2.2;2.2;2;achieving;achieving;6;1;yes
http://data.europa.eu/sdg/2.2;2.2;2;internationally agreed targets on stunting;the internationally agreed targets on stunting;6;1;yes
http://data.europa.eu/sdg/2.2;2.2;2;targets on stunting;the internationally agreed targets on stunting;7;1;yes
http://data.europa.eu/sdg/2.2;2.2;2;years of age;wasting in children under 5 years of age;7;2;yes
http://data.europa.eu/sdg/2.2;2.2;2;adolescent girls;address the nutritional needs of adolescent girls;7;1;yes
http://data.europa.eu/sdg/2.2;2.2;2;pregnant;pregnant;6;1;yes
http://data.europa.eu/sdg/2.2;2.2;2;lactating women;lactating women;6;1;yes
http://data.europa.eu/sdg/2.2;2.2;2;older persons;older persons;6;3;yes
http://data.europa.eu/sdg/2.3;2.3;2;agricultural productivity;double the agricultural productivity;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;incomes of small-scale food producers;incomes of small-scale food producers;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;small-scale food producers;incomes of small-scale food producers;7;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;women;women;6;6;no
http://data.europa.eu/sdg/2.3;2.3;2;indigenous peoples;indigenous peoples;6;2;yes
http://data.europa.eu/sdg/2.3;2.3;2;family farmers;family farmers;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;pastoralists;pastoralists;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;fishers;fishers;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;secure;through secure;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;equal access to land;equal access to land;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;access to land;equal access to land;7;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;productive resources;other productive resources;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;inputs;inputs;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;knowledge;knowledge;6;2;yes
http://data.europa.eu/sdg/2.3;2.3;2;financial services;financial services;6;6;no
http://data.europa.eu/sdg/2.3;2.3;2;markets;markets;6;3;yes
http://data.europa.eu/sdg/2.3;2.3;2;opportunities for value addition;opportunities for value addition;6;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;value addition;opportunities for value addition;7;1;yes
http://data.europa.eu/sdg/2.3;2.3;2;non-farm employment;non-farm employment;6;1;yes
http://data.europa.eu/sdg/2.4;2.4;2;sustainable food production systems;ensure sustainable food production systems;6;1;yes
http://data.europa.eu/sdg/2.4;2.4;2;food production systems;ensure sustainable food production systems;7;1;yes
http://data.europa.eu/sdg/2.4;2.4;2;resilient agricultural practices that increase productivity;implement resilient agricultural practices that increase productivity;6;1;yes
http://data.europa.eu/sdg/2.4;2.4;2;increase productivity;implement resilient agricultural practices that increase productivity;7;1;yes
http://data.europa.eu/sdg/2.4;2.4;2;help maintain ecosystems;that help maintain ecosystems;6;1;yes
http://data.europa.eu/sdg/2.4;2.4;2;climate change;that strengthen capacity for adaptation to climate change;7;2;yes
http://data.europa.eu/sdg/2.4;2.4;2;extreme weather;extreme weather;6;1;yes
http://data.europa.eu/sdg/2.4;2.4;2;drought;drought;6;2;yes
http://data.europa.eu/sdg/2.4;2.4;2;flooding;flooding;6;1;yes
http://data.europa.eu/sdg/2.4;2.4;2;disasters;other disasters;6;2;yes
http://data.europa.eu/sdg/2.4;2.4;2;improve land;that progressively improve land;6;1;yes
http://data.europa.eu/sdg/2.4;2.4;2;soil quality;soil quality;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;genetic diversity of seeds;maintain the genetic diversity of seeds;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;diversity of seeds;maintain the genetic diversity of seeds;7;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;cultivated plants;cultivated plants;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;farmed;farmed;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;domesticated animals;domesticated animals;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;related wild species;their related wild species;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;soundly managed;through soundly managed;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;diversified seed;diversified seed;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;plant banks;plant banks at the national;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;regional;regional;6;3;yes
http://data.europa.eu/sdg/2.5;2.5;2;fair;fair;6;2;yes
http://data.europa.eu/sdg/2.5;2.5;2;genetic resources;equitable sharing of benefits arising from the utilization of genetic resources;7;2;yes
http://data.europa.eu/sdg/2.5;2.5;2;associated traditional knowledge;associated traditional knowledge;6;1;yes
http://data.europa.eu/sdg/2.5;2.5;2;internationally agreed;as internationally agreed;6;2;yes
http://data.europa.eu/sdg/2.a;2.a;2;investment;Increase investment;6;1;yes
http://data.europa.eu/sdg/2.a;2.a;2;enhanced international cooperation;through enhanced international cooperation;6;1;yes
http://data.europa.eu/sdg/2.a;2.a;2;rural infrastructure;in rural infrastructure;6;1;yes
http://data.europa.eu/sdg/2.a;2.a;2;agricultural research;agricultural research;6;1;yes
http://data.europa.eu/sdg/2.a;2.a;2;extension services;extension services;6;1;yes
http://data.europa.eu/sdg/2.a;2.a;2;plant;plant;6;1;yes
http://data.europa.eu/sdg/2.a;2.a;2;developing countries;livestock gene banks in order to enhance agricultural productive capacity in developing countries;7;22;no
http://data.europa.eu/sdg/2.a;2.a;2;developed countries;least developed countries;6;19;no
http://data.europa.eu/sdg/2.b;2.b;2;correct;Correct;6;1;yes
http://data.europa.eu/sdg/2.b;2.b;2;prevent trade restrictions;prevent trade restrictions;6;1;yes
http://data.europa.eu/sdg/2.b;2.b;2;distortions in world agricultural markets;distortions in world agricultural markets;6;1;yes
